LCNZ	Entomology Research Museum	Ecology and Entomology Group	Lincoln University	Canterbury	New Zealand	Entomology Research Museum, Ecology and Entomology Group, Lincoln University, Canterbury, New Zealand
LGUL	Laboratoire de Geologie		Universite de Lyon	Lyon	France	Laboratoire de Geologie, Lyon, France
LPMP	Laboratoire de Parasitologie et Mycologie		University of Paris	Paris	France	Laboratoire de Parasitologie et Mycologie, Paris, France
LSL	Linnean Society of London			London	United Kingdom	Linnean Society of London, London, United Kingdom
LSTM	Liverpool School of Tropical Medicine			Liverpool	United Kingdom	Liverpool School of Tropical Medicine, Liverpool, United Kingdom
MACN	Museo Argentino de Ciencias Naturales	Divison Entomologia		Buenos Aires	Argentina	Museo Argentino de Ciencias Naturales, Divison Entomologia, Buenos Aires, Argentina
MBCG	"Museo Civico di Scienze Naturali ""Enrico Caffi"""	Collezioni Generali		Bergamo	Italy	"Museo Civico di Scienze Naturali ""Enrico Caffi"", Collezioni Generali, Bergamo, Italy"
MCNA	Museo de Ciencias Naturales de Alava			Vitoria (Alava)	Spain	Museo de Ciencias Naturales de Alava, Vitoria (Alava), Spain
MCNV	Museo di Storia Naturale		Musei Civici Veneziani	Venice	Italy	Museo di Storia Naturale, Venice, Italy
MCPM	Milwaukee Public Museum			Milwaukee	United States	Milwaukee Public Museum, Milwaukee, United States
MCQ	Lyman Entomological Museum and Research Laboratory		McGill University	St. Anne de Bellevue	Canada	Lyman Entomological Museum and Research Laboratory, St. Anne de Bellevue, Canada
MCSNM	Museo Civico di Storia Naturale			Milan	Italy	Museo Civico di Storia Naturale, Milan, Italy
MCZ	Museum of Comparative Zoology	Entomology Department	Harvard University	Cambridge	United States	Museum of Comparative Zoology, Entomology Department, Harvard University, Cambridge, United States
MCZL	Musee de Zoologie Lausanne	Entomological Collection		Lausanne	Switzerland	Musee de Zoologie Lausanne, Entomological Collection, Lausanne, Switzerland
MDRG	Museum voor Dierkunde		Universiteit Gent	Gent	Belgium	Museum voor Dierkunde, Gent, Belgium
MECG	Medical Entomology Collection Gallery			Beijing	China	Medical Entomology Collection Gallery, Beijing, China
MEUA	Museo de Entomologia		Universidad Nacional Agraria La Molina	Lima	Peru	Museo de Entomologia, Lima, Peru
MEUV	Museo de Entomologia	Departamento de Biologia 	Universidad del Valle	Cali	Colombia	Museo de Entomologia, Departamento de Biologia, Universidad del Valle, Cali, Colombia
MGAB	"Muzeul National de Istorie Naturalaá""Grigore Antipa"""			Bucuresti	Romania	"Muzeul National de Istorie Naturalaá""Grigore Antipa"", Bucuresti, Romania"
MHNA	Museum d'Histoire Naturelle			Autun	France	Museum d'Histoire Naturelle, Autun, France
MHNG	Museum d'Histoire Naturelle	Department d'Entomologie II		Geneva	Switzerland	Museum d'Histoire Naturelle, Department d'Entomologie II, Geneva, Switzerland
MHNL	Musee d'histoire Naturelle de Lyon			Lyon	France	Musee d'histoire Naturelle de Lyon, Lyon, France
MHNLI	Musee d'Histoire Naturelle et d'Ethnographie			Lille	France	Musee d'Histoire Naturelle et d'Ethnographie, Lille, France
MHNN	Museum d'Histoire Naturelle			Neuchatel	Switzerland	Museum d'Histoire Naturelle, Neuchatel, Switzerland
MICN	Museo de Ciencias Naturales de Tenerife		Museo de la Naturaleza y el Hombre 	Santa Cruz de Tenerife	Spain	Museo de Ciencias Naturales de Tenerife, Santa Cruz de Tenerife, Spain
MLUH	Institut fur Zoologie und Zoologische Sammlung		Martin-Luther-Universitat Halle-Wittenberg	Halle (Saale)	Germany	Institut fur Zoologie und Zoologische Sammlung, Halle (Saale), Germany
MMB	Moravske Zemske Muzeum	Department of Entomology		Brno	Czech Republic	Moravske Zemske Muzeum, Department of Entomology, Brno, Czech Republic
MMC	Department of Parasitology		Seventh Military Medical College		China	Department of Parasitology, China
MMK	Maidstone Museum & Art Gallery			Maidstone	United Kingdom	Maidstone Museum & Art Gallery, Maidstone, United Kingdom
MMS	Macleay Museum	Insect Collection	University of Sydney	Sydney	Australia	Macleay Museum, Insect Collection, University of Sydney, Sydney, Australia
MNHNP	Museum National d'Histoire Naturelle	National Collection of Insects		Paris	France	Museum National d'Histoire Naturelle, National Collection of Insects, Paris, France
MNHNS	Museo Nacional de Historia Natural	Coleccion Nacional de Insectos		Santiago	Chile	Museo Nacional de Historia Natural, Coleccion Nacional de Insectos, Santiago, Chile
MNLR	Latvian Museum of Natural History			Riga	Latvia	Latvian Museum of Natural History, Riga, Latvia
MNMS	Museo Nacional de Ciencias Naturales	Department of Entomology		Madrid	Spain	Museo Nacional de Ciencias Naturales, Department of Entomology, Madrid, Spain
MNRJ	Museu Nacional		Universidade Federal do Rio de Janeiro	Rio de Janeiro	Brazil	Museu Nacional, Rio de Janeiro, Brazil
MNRP	Museo Nacional			Panama	Panama	Museo Nacional, Panama, Panama
MPEG	Museu Paraense Emilio Goeldi	Departamento de Entomologia		Belem	Brazil	Museu Paraense Emilio Goeldi, Departamento de Entomologia, Belem, Brazil
MPIL	Limnologische Flussstation		Max-Planck-Institut fur Limnologie	Schlitz	Germany	Limnologische Flussstation, Schlitz, Germany
MRAC	Musee Royal de l'Afrique Centrale	Section d'Entomologie		Tervuren	Belgium	Musee Royal de l'Afrique Centrale, Section d'Entomologie, Tervuren, Belgium
MRI	Medical Research Institute	Department of Entomology		Colombo	Sri Lanka	Medical Research Institute, Department of Entomology, Colombo, Sri Lanka
MRSN	Museo Regionale di Scienze Naturali	Spinola Collection		Turin	Italy	Museo Regionale di Scienze Naturali, Spinola Collection, Turin, Italy
MSNG	"Museo Civico di Storia Naturale ""Giacomo Doria"""			Genoa	Italy	"Museo Civico di Storia Naturale ""Giacomo Doria"", Genoa, Italy"
MSNV	Museo Civico di Storia Naturale			Verona	Italy	Museo Civico di Storia Naturale, Verona, Italy
MSUB	Department of Entomology	Montana Entomology Collection 	Montana State University	Bozeman	United States	Department of Entomology, Montana Entomology Collection, Montana State University, Bozeman, United States
MSUEL	Department of Entomology	Entomological Collection	Michigan State University	East Lansing	United States	Department of Entomology, Entomological Collection, Michigan State University, East Lansing, United States
MTI	Moscow Tropical Institute			Moscow	Russia	Moscow Tropical Institute, Moscow, Russia
MUSA	Madrid University School of Agriculture			Madrid	Spain	Madrid University School of Agriculture, Madrid, Spain
MUSM	Museo de Historia Natural		Universidad Nacional Mayor de San Marcos	Lima	Peru	Museo de Historia Natural, Lima, Peru
MVMM	Melbourne Museum		Museum Victoria	Melbourne	Australia	Melbourne Museum, Melbourne, Australia
MWNH	Museum Wiesbaden	Naturwissenschaftliche Sammlung		Wiesbaden	Germany	Museum Wiesbaden, Naturwissenschaftliche Sammlung, Wiesbaden, Germany
MZB	Museum Zoologicum Bogoriense			Bogor	Indonesia	Museum Zoologicum Bogoriense, Bogor, Indonesia
MZLP	Musee Zoologique		Universite Louis Pasteur	Strasbourg	France	Musee Zoologique, Strasbourg, France
MZLS	"Museo Zoologico ""La Specola"""		Museo di Storia Naturale	Florence	Italy	"Museo Zoologico ""La Specola"", Florence, Italy"
MZUN	Museo Zoologico dell'Universita di Napoli			Naples	Italy	Museo Zoologico dell'Universita di Napoli, Naples, Italy
MZUSP	Museu de Zoologia		Universidade de Sao Paulo	Sao Paulo	Brazil	Museu de Zoologia, Sao Paulo, Brazil
NARCH	National Agricultural Research Center for Hokkaido Region	Entomology Laboratory, Department of Agro-Environment Sciences		Sapporo	Japan	National Agricultural Research Center for Hokkaido Region, Entomology Laboratory, Department of Agro-Environment Sciences, Sapporo, Japan
NDSR	Drosophila Species Center	Bowling Green State University		Bowling Green	United States	Drosophila Species Center, Bowling Green State University, Bowling Green, United States
NHLS	National Health Laboratory Services	Department of Medical Entomology		Johannesburg	South Africa	National Health Laboratory Services, Department of Medical Entomology, Johannesburg, South Africa
NHMM	Naturhistorisches Museum Mainz	Landessammlung f³r Naturkunde, Rheinland-Pfalz		Mainz	Germany	Naturhistorisches Museum Mainz, Landessammlung f³r Naturkunde, Rheinland-Pfalz, Mainz, Germany
NICD	National Institute of Communicable Diseases	Malaria Research Center		Delhi	India	National Institute of Communicable Diseases, Malaria Research Center, Delhi, India
