"006b1870-7347-4624-990f-e5ed78484a1a","Country","
"f81e0bbb-8984-431e-9962-de590a989fd3","South Korea","Corea del Sur","Corea (la República de)","KOR"
"00451db7-4f5a-4e5d-a6fe-955a8af306a0","Kuwait","Kuwait","Kuwait","KWT"
"83b736b4-5049-4301-b370-ba19e7aa0403","Laos","Laos","Lao, (la) República Democrática Popular","LAO"
"425b9cd2-0056-484a-9f77-5449215c65ba","Lebanon","Líbano","Líbano","LBN"
"f40126ab-4cbe-409e-8f61-8911280e0857","Liberia","Liberia","Liberia","LBR"
"b9115908-2937-45e3-8fb3-009136b013af","Libya","Libia","Libia","LBY"
"a3a55f1c-ea50-43df-b141-e8543eb20ebb","St. Lucia","Santa Lucía","Santa Lucía","LCA"
"1bb6cf13-1286-40c8-bff8-1a18ef65e213","Liechtenstein","Liechtenstein","Liechtenstein","LIE"
"c7e74d0e-5c0d-4e3f-a19b-e072abbf0b92","Sri Lanka","Sri Lanka","Sri Lanka","LKA"
"fbbbc46c-ed8f-45f5-87bc-062a7ee7ffdf","Lesotho","Lesoto","Lesoto","LSO"
"3a2a0f69-92b1-45ab-baa8-47cf48e7272b","Lithuania","Lituania","Lituania","LTU"
"5c481573-3d28-4c2c-87e1-acee4ccc64f1","Luxembourg","Luxemburgo","Luxemburgo","LUX"
"c24a316c-cec1-47c2-a777-296ce67ce11a","Latvia","Letonia","Letonia","LVA"
"927f5ae3-8d26-4794-9e5d-95cf9e0dfd03","Macau","Macao","Macao","MAC"
"8e7dbca3-eda4-4cf8-9227-15abf4a75efc","St. Martin","San Martín","Saint Martin (parte francesa)","MAF"
"d9c048d5-3220-439d-8af4-2a8ec3036e5b","Morocco","Marruecos","Marruecos","MAR"
"4ef4c6cb-e02c-41a3-8d5f-74e8ae09ca71","Monaco","Mónaco","Mónaco","MCO"
"500f43b9-47c4-4c2a-af58-80adbc40c5f3","Moldova","Moldavia","Moldova (la República de)","MDA"
"116be5e1-861e-4283-8689-f527a923b9d3","Madagascar","Madagascar","Madagascar","MDG"
"5b932d64-3ca6-4691-881f-8b48bd2f3f15","Maldives","Maldivas","Maldivas","MDV"
"4ba4809b-3fa8-496d-a74d-80843a4740c8","Mexico","México","México","MEX"
"2c507bb4-de73-4e3f-98ce-26bd2b0c016a","Marshall Islands","Islas Marshall","Marshall, (las) Islas","MHL"
"1cf135bb-cac7-4ba9-82dc-319ee41984c5","North Macedonia","Macedonia del Norte","Macedonia del Norte","MKD"
"2e201266-8535-4437-8870-a1d63745ec3d","Mali","Malí","Malí","MLI"
"0ee9727a-36cb-40cb-9e65-cd4646c09d63","Malta","Malta","Malta","MLT"
"fd07e660-b3d6-46e7-bf7d-ec984e573c60","Myanmar","Birmania","Myanmar","MMR"
"ac503b8d-ec58-433c-a64a-e76c9d1a7310","Montenegro","Montenegro","Montenegro","MNE"
"8b7ebb83-9998-4efd-b97c-f1b7d3a7151f","Mongolia","Mongolia","Mongolia","MNG"
"43471298-1133-473e-b9b3-9152c5955177","Northern Mariana Islands","Islas Marianas del Norte","Marianas del Norte, (las) Islas","MNP"
"9f2b714e-6159-401b-9108-5d0b9413f6c8","Mozambique","Mozambique","Mozambique","MOZ"
"dfd0aaf0-4a73-4d41-a6d7-9cdfd01f4c40","Mauritania","Mauritania","Mauritania","MRT"
"cd64d76f-6f2b-4e44-8d31-a2765100257b","Montserrat","Montserrat","Montserrat","MSR"
"93ec114a-0486-4325-bef8-d1b5dea89419","Martinique","Martinica","Martinique","MTQ"
"719daa07-1dce-4473-8c40-b0efd644028c","Mauritius","Mauricio","Mauricio","MUS"
"61b41230-6365-433f-9454-5fea029f0e02","Malawi","Malaui","Malawi","MWI"
"5650de95-a90c-45c1-92bf-85d9b91911dd","Malaysia","Malasia","Malasia","MYS"
"48116e69-19a9-4169-9952-4ca46c586fa2","Mayotte","Mayotte","Mayotte","MYT"
"2c361180-c71c-4de0-8a98-0ff5a71bccaa","Namibia","Namibia","Namibia","NAM"
"587f11ed-27de-4751-9d04-b04f13f3f67c","New Caledonia","Nueva Caledonia","Nueva Caledonia","NCL"
"1804792f-cccd-4f14-9e63-5c241bfd8429","Niger","Níger","Níger (el)","NER"
"3d5afd71-90d7-459f-ade1-c8b65cbc7fe1","Norfolk Island","Isla Norfolk","Norfolk, Isla","NFK"
"6dae052c-7477-485a-9d2c-63760991f9d8","Nigeria","Nigeria","Nigeria","NGA"
"290da724-674d-4c99-8630-cb237162ae0a","Nicaragua","Nicaragua","Nicaragua","NIC"
"e804fe1d-8246-481b-a293-d3c0b71d6abd","Niue","Niue","Niue","NIU"
"5880f989-f10d-4a9c-aae8-4e6c7b212dd8","Netherlands","Países Bajos","Países Bajos (los)","NLD"
"e136efdf-82bb-4528-be5c-881acd8315cb","Norway","Noruega","Noruega","NOR"
"fa46cd94-68f9-4d0d-98a2-27dc6589658f","Nepal","Nepal","Nepal","NPL"
"35d8c1ce-a2e9-43d6-9afe-582278a53d34","Nauru","Nauru","Nauru","NRU"
"322c12c9-7b5a-4343-9861-23c93bbe62b4","New Zealand","Nueva Zelanda","Nueva Zelandia","NZL"
